name:Ninjas in Pyjamas,win_rate:0.23,avg_rating:1.09,avg_kills:17.06,avg_deaths:16.17,avg_kast:0.71,avg_adr:73.22,avg_kddiff:0.89,avg_fkdiff:0.26,rounds_won:11.07,maps_winrate:{ovp:0.0,inf:0.6962025316455697}
name:34united,win_rate:0.5,avg_rating:0.0,avg_kills:7.3,avg_deaths:7.85,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.55,avg_fkdiff:0.05,rounds_won:10.75,maps_winrate:{mrg:0.0,nuke:1.0}
name:bemyfRAG,win_rate:0.0,avg_rating:0.0,avg_kills:4.27,avg_deaths:2.93,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.33,avg_fkdiff:0.53,rounds_won:4.33,maps_winrate:{nuke:0.0}
name:x6tence,win_rate:0.33,avg_rating:1.01,avg_kills:14.78,avg_deaths:15.66,avg_kast:0.67,avg_adr:71.16,avg_kddiff:-0.88,avg_fkdiff:-0.09,rounds_won:9.97,maps_winrate:{inf:0.35}
name:VeryGames,win_rate:0.37,avg_rating:0.0,avg_kills:7.23,avg_deaths:6.47,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.76,avg_fkdiff:0.35,rounds_won:10.27,maps_winrate:{nuke:0.0,mrg:0.8333333333333334}
name:DN-Gaming,win_rate:0.0,avg_rating:0.0,avg_kills:4.65,avg_deaths:6.05,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-1.4,avg_fkdiff:-0.25,rounds_won:6.75,maps_winrate:{nuke:0.0,mrg:0.0}
name:ASES,win_rate:0.5,avg_rating:0.0,avg_kills:8.96,avg_deaths:6.62,avg_kast:0.0,avg_adr:0.0,avg_kddiff:2.34,avg_fkdiff:0.88,rounds_won:12.3,maps_winrate:{d2:0.0,inf:1.0}
name:k1ck,win_rate:0.2,avg_rating:1.05,avg_kills:16.93,avg_deaths:17.14,avg_kast:0.69,avg_adr:74.11,avg_kddiff:-0.21,avg_fkdiff:-0.15,rounds_won:10.43,maps_winrate:{inf:0.32}
name:Blight,win_rate:0.13,avg_rating:0.93,avg_kills:16.02,avg_deaths:18.73,avg_kast:0.65,avg_adr:69.34,avg_kddiff:-2.71,avg_fkdiff:-0.3,rounds_won:10.03,maps_winrate:{ovp:0.0,nuke:0.0}
name:ImmuNe,win_rate:0.0,avg_rating:0.7,avg_kills:11.6,avg_deaths:12.07,avg_kast:0.47,avg_adr:46.31,avg_kddiff:-0.47,avg_fkdiff:0.93,rounds_won:7.33,maps_winrate:{nuke:0.0}
name:n!faculty,win_rate:0.37,avg_rating:0.0,avg_kills:8.11,avg_deaths:6.94,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.17,avg_fkdiff:0.33,rounds_won:10.6,maps_winrate:{inf:0.0,trn:0.6666666666666666}
name:CPLAY,win_rate:0.17,avg_rating:0.0,avg_kills:8.47,avg_deaths:7.04,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.43,avg_fkdiff:0.25,rounds_won:9.4,maps_winrate:{mrg:0.0,cch:0.6666666666666666}
name:SFTO,win_rate:0.25,avg_rating:0.32,avg_kills:10.86,avg_deaths:10.58,avg_kast:0.22,avg_adr:22.91,avg_kddiff:0.28,avg_fkdiff:0.13,rounds_won:10.71,maps_winrate:{nuke:0.0,cch:0.0}
name:dotpiXels,win_rate:0.27,avg_rating:0.0,avg_kills:7.5,avg_deaths:7.33,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.17,avg_fkdiff:0.17,rounds_won:9.87,maps_winrate:{cbl:0.0,mrg:0.8}
name:ROCCAT,win_rate:0.2,avg_rating:0.0,avg_kills:8.49,avg_deaths:8.49,avg_kast:0.0,avg_adr:0.0,avg_kddiff:-0.0,avg_fkdiff:0.22,rounds_won:11.22,maps_winrate:{cch:0.0,mrg:0.2857142857142857}
name:HastaLaVista,win_rate:0.41,avg_rating:0.14,avg_kills:8.74,avg_deaths:8.06,avg_kast:0.08,avg_adr:9.79,avg_kddiff:0.68,avg_fkdiff:0.28,rounds_won:10.63,maps_winrate:{nuke:0.0,cch:0.0}
name:logiX,win_rate:0.37,avg_rating:0.0,avg_kills:7.61,avg_deaths:6.25,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.37,avg_fkdiff:0.41,rounds_won:9.8,maps_winrate:{nuke:0.0,cch:0.6}
name:MOUZ,win_rate:0.37,avg_rating:1.03,avg_kills:16.09,avg_deaths:16.5,avg_kast:0.69,avg_adr:70.8,avg_kddiff:-0.41,avg_fkdiff:-0.07,rounds_won:11.43,maps_winrate:{vtg:0.0,mrg:0.7176470588235294}
name:iPLAY,win_rate:0.21,avg_rating:0.0,avg_kills:8.13,avg_deaths:6.3,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.83,avg_fkdiff:0.42,rounds_won:10.21,maps_winrate:{d2:0.0,trn:0.3333333333333333}
name:Red Dead,win_rate:0.36,avg_rating:0.0,avg_kills:7.51,avg_deaths:6.42,avg_kast:0.0,avg_adr:0.0,avg_kddiff:1.09,avg_fkdiff:0.09,rounds_won:9.89,maps_winrate:{d2:0.0,nuke:0.6666666666666666}
name:ALTERNATE aTTaX,win_rate:0.37,avg_rating:1.05,avg_kills:16.4,avg_deaths:16.15,avg_kast:0.71,avg_adr:73.35,avg_kddiff:0.25,avg_fkdiff:-0.14,rounds_won:10.6,maps_winrate:{inf:0.0,anb:0.5263157894736842}
name:Tt Dragons,win_rate:0.4,avg_rating:0.0,avg_kills:8.74,avg_deaths:7.92,avg_kast:0.0,avg_adr:0.0,avg_kddiff:0.82,avg_fkdiff:0.17,rounds_won:11.2,maps_winrate:{nuke:0.5}
